"","ID","Gender","Username","text","description","combi","M_frequency","sum","male_prob","gender_predicted"
"11",11,0,"Emilnem","lil wayne singing take me out to the ball game was icing on the sfgiants cake weezy friscoswag rt dallaslatos confession i knew people would get all stupid when i tweeted rallyvogey but i meant it because rallygoodpeople","we like sports and we don t care who knows","we like sports and we don t care who knows lil wayne singing take me out to the ball game was icing on the sfgiants cake weezy friscoswag rt dallaslatos confession i knew people would get all stupid when i tweeted rallyvogey but i meant it because rallygoodpeople",36,74,0.486486486486487,0
"12",12,0,"SEOAware","rt seomoz using trello for seo success new youmoz from jasonclicky pointblankseo youtube","melissa fach http seoaware com seomoz associate work w copypress authority labs wife to paulfach big cat volunteer non cook star wars fan","melissa fach http seoaware com seomoz associate work w copypress authority labs wife to paulfach big cat volunteer non cook star wars fan rt seomoz using trello for seo success new youmoz from jasonclicky pointblankseo youtube",25,52,0.480769230769231,0
"13",13,0,"NikaHarper","bnrucegreene i superbly appreciate your refused shirt in i lt 3lastgen harmonygrits brucegreene i totally typo d i did that it was a thing i did","author dinosaur geeky type half goth prone to cackling and obscure music references i m good at talking to cameras","author dinosaur geeky type half goth prone to cackling and obscure music references i m good at talking to cameras bnrucegreene i superbly appreciate your refused shirt in i lt 3lastgen harmonygrits brucegreene i totally typo d i did that it was a thing i did",14,23,0.608695652173913,1
"14",14,0,"gayathrikamath","i m just really pleased seeing this picture of a hat i made for my cousin s baby this is what makes the internet so so cool what children s drawings would look like if it were painted realistically","program manager and cat herder at say media social junkie getting her fix","program manager and cat herder at say media social junkie getting her fix i m just really pleased seeing this picture of a hat i made for my cousin s baby this is what makes the internet so so cool what children s drawings would look like if it were painted realistically",30,62,0.483870967741935,0
"15",15,0,"cookiesANDclogs","catch the tail of whale watching season at outrigger condominiums on maui via themomjen doing laundry the right way with my amana high efficiency washer and dryer via aboutamom","sahm of one helping other families decide which products to buy places to go and things to do","sahm of one helping other families decide which products to buy places to go and things to do catch the tail of whale watching season at outrigger condominiums on maui via themomjen doing laundry the right way with my amana high efficiency washer and dryer via aboutamom",16,29,0.551724137931034,1
"16",16,0,"christinadunnn","rt kings 6thman i see you ltrain5 go kings robdelaney this seems like a controversial take on the matter and i don t appreciate controversy on twitter dot com rob conrc my brother brought one to thanksgiving and i only got a sip but it was amazingggg and now i want one so ha d thx bb conrc","my dad s a pretty big wheel down at the cracker factory","my dad s a pretty big wheel down at the cracker factory rt kings 6thman i see you ltrain5 go kings robdelaney this seems like a controversial take on the matter and i don t appreciate controversy on twitter dot com rob conrc my brother brought one to thanksgiving and i only got a sip but it was amazingggg and now i want one so ha d thx bb conrc",54,106,0.509433962264151,1
"17",17,0,"nickibabylove","letsgosharks hope my sjsharks will beat the leafs in toronto yay i m watching now yay sjsharks has a goal thank you mike brown 1 0 in 1st pd wooooohoooooo leafs d","sportsfanatic girl bay area native fun silly vent truth 49ers sfgiants sjsharks sackings dubnation duke bayareasportsco pros love peace happiness equality","sportsfanatic girl bay area native fun silly vent truth 49ers sfgiants sjsharks sackings dubnation duke bayareasportsco pros love peace happiness equality letsgosharks hope my sjsharks will beat the leafs in toronto yay i m watching now yay sjsharks has a goal thank you mike brown 1 0 in 1st pd wooooohoooooo leafs d",29,74,0.391891891891892,0
"18",18,1,"KCJHoop","noah on suns president rick welts supportive comment to tribune columnist davidhaugh that s very sweet he s a good guy omer asik is not participating in tuesday s shootaround but remains a gametime decision with strained muscle in left leg kurt thomas is sub","i cover the chicago bulls for the chicago tribune and i never play defense","i cover the chicago bulls for the chicago tribune and i never play defense noah on suns president rick welts supportive comment to tribune columnist davidhaugh that s very sweet he s a good guy omer asik is not participating in tuesday s shootaround but remains a gametime decision with strained muscle in left leg kurt thomas is sub",10,17,0.588235294117647,1
"19",19,1,"619sports","hey hey the aztecs lead two runs in the first off tcu starter stefan crichton a 2 0 lead after one watch live a 2nd inning one out triple by tcu 2b derek odell cashed in on a sac fly the aztecs lead 2 1 mid 2nd","san diego sports home of the sockers live tweets from sd sporting events social media source for 619sports net","san diego sports home of the sockers live tweets from sd sporting events social media source for 619sports net hey hey the aztecs lead two runs in the first off tcu starter stefan crichton a 2 0 lead after one watch live a 2nd inning one out triple by tcu 2b derek odell cashed in on a sac fly the aztecs lead 2 1 mid 2nd",29,54,0.537037037037037,1
"20",20,1,"npaden","rt richieparsons reading the abortion article n dailyathenaeum 1 would think it ok 2 take ur 3 year old out back shoot them should i just got some free music from jars of clay on noisetrade download it here","pharmacist graduate of d e and wvu school of pharmacy geek christian lover of bacon","pharmacist graduate of d e and wvu school of pharmacy geek christian lover of bacon rt richieparsons reading the abortion article n dailyathenaeum 1 would think it ok 2 take ur 3 year old out back shoot them should i just got some free music from jars of clay on noisetrade download it here",43,76,0.565789473684211,1
"21",21,1,"jasontbrown","grace asks you to risk to hope to trust that the reality of jesus is bigger than the reality of brokenness advent akerstony sent it to you","son husband father youth minister baller poet dreamer futurist","son husband father youth minister baller poet dreamer futurist grace asks you to risk to hope to trust that the reality of jesus is bigger than the reality of brokenness advent akerstony sent it to you",7,15,0.466666666666667,0
"22",22,1,"JDJohnDickinson","dbacks gave up a lot for a ss that supposedly can t hit lh reliever like choo don t see him as cf bauer could be steal for cle w stubbs not sure what nbakings can do w demarcus cousins after latest incident w mayo not gonna sit guy for that but his act is getting old fast","sports reporter radio host 957thegame news opinion analysis sfgiants 49ers raiders warriors athletics sjsharks nbakings random musings","sports reporter radio host 957thegame news opinion analysis sfgiants 49ers raiders warriors athletics sjsharks nbakings random musings dbacks gave up a lot for a ss that supposedly can t hit lh reliever like choo don t see him as cf bauer could be steal for cle w stubbs not sure what nbakings can do w demarcus cousins after latest incident w mayo not gonna sit guy for that but his act is getting old fast",55,89,0.617977528089888,1
"23",23,0,"ToughCookieMom","marleneanzaldua thanks for the rt marlene your artwork is getting more beautiful every single day how have you been cancer made me 2x stronger angelsoft giveaway","working mom of 2 boys wife literacy specialist grades 5 12 blogger latina and juggler extraordinaire latism smlatinas education","working mom of 2 boys wife literacy specialist grades 5 12 blogger latina and juggler extraordinaire latism smlatinas education marleneanzaldua thanks for the rt marlene your artwork is getting more beautiful every single day how have you been cancer made me 2x stronger angelsoft giveaway",15,41,0.365853658536585,0
"24",24,1,"warriors","rt warriorsvox from pregame show assistant coach calbert cheaney on defending lakers tonight s starters gsw curry ellis wright lee udoh lal fisher bryant artest gasol bynum","the official golden state warriors twitter page","the official golden state warriors twitter page rt warriorsvox from pregame show assistant coach calbert cheaney on defending lakers tonight s starters gsw curry ellis wright lee udoh lal fisher bryant artest gasol bynum",6,11,0.545454545454545,1
"25",25,1,"AdamRonis","michael canini i could see it close in that format jcswigga won t be as good as last season was fortunate with low homer total last season","check me out every weekday from 7 11 a m et on sirius xm fantasy sports radio on sirius 210 xm 87 also visit www rotoexperts com","check me out every weekday from 7 11 a m et on sirius xm fantasy sports radio on sirius 210 xm 87 also visit www rotoexperts com michael canini i could see it close in that format jcswigga won t be as good as last season was fortunate with low homer total last season",33,50,0.66,1
"26",26,0,"essKbee","my key earring broke hate lines","apres moi le deluge after me comes the flood","apres moi le deluge after me comes the flood my key earring broke hate lines",NA,NA,NA,NA
"27",27,0,"MamasGotAGun","rt cnnnedesk govs christie cuumo on no sandy relief when american citizens are in need we come to their aid that tradition was aband how many katrina s amp sandy s will it take for people to learn the govt is not going to help you only you can save yourself prepare","if it harm none do as you will freedom is everything this screwed up world can t go on as it is be prepared to survive emt nurse animals cooking prepper","if it harm none do as you will freedom is everything this screwed up world can t go on as it is be prepared to survive emt nurse animals cooking prepper rt cnnnedesk govs christie cuumo on no sandy relief when american citizens are in need we come to their aid that tradition was aband how many katrina s amp sandy s will it take for people to learn the govt is not going to help you only you can save yourself prepare",22,62,0.354838709677419,0
"28",28,1,"NickJAss","holy fuck 2013 first question what ever happened to stroke 9 there s nothing an iphone can do that my penis can t inspector gagdet in his grumpy old age","i moved to nyc to learn the ways of the improviser at ucb this makes me feel like a jedi more than you know","i moved to nyc to learn the ways of the improviser at ucb this makes me feel like a jedi more than you know holy fuck 2013 first question what ever happened to stroke 9 there s nothing an iphone can do that my penis can t inspector gagdet in his grumpy old age",26,46,0.565217391304348,1
"29",29,1,"5lbtrout","rt byugiff i think that s the last hashtag he wants to see mt 5lbtrout winningest qb in byu history but more importantly max leondenarnia just like hijodeputtis","i tweet about byu fly fishing raising my kids lds topics this is my personal account and does not reflect the views of my employer or my church","i tweet about byu fly fishing raising my kids lds topics this is my personal account and does not reflect the views of my employer or my church rt byugiff i think that s the last hashtag he wants to see mt 5lbtrout winningest qb in byu history but more importantly max leondenarnia just like hijodeputtis",33,60,0.55,1
"30",30,0,"catrides","oubad wow looooove it donniesdancer braveheart133 great picture","coast to coast for nkotb north to south nokia l a in 08 rcmhx3 windsor casi no tour 2011 2012 cruise","coast to coast for nkotb north to south nokia l a in 08 rcmhx3 windsor casi no tour 2011 2012 cruise oubad wow looooove it donniesdancer braveheart133 great picture",7,12,0.583333333333333,1
"31",31,1,"MainetheCK","diggies a l7 to vote i need more workout clothes i m bouta damn near sculpt my body like a bodybuilder im gonna be lean and muscular","im eclectic very far from orthodox and traditional there are 6 billion people on earth but out of them there s only one me follow and see for yourself","im eclectic very far from orthodox and traditional there are 6 billion people on earth but out of them there s only one me follow and see for yourself diggies a l7 to vote i need more workout clothes i m bouta damn near sculpt my body like a bodybuilder im gonna be lean and muscular",25,52,0.480769230769231,0
"32",32,0,"auchic78","i like janelle but i m willing for her to be sacrificed to keep frank in the game please let this work bb14 bblf bbad chilltown please don t let ian screw this up bb14","loves paul reality tv laughing friends siberian huskies auburn tigers coffee makin new friends livin life hates racism bigotry cold weather","loves paul reality tv laughing friends siberian huskies auburn tigers coffee makin new friends livin life hates racism bigotry cold weather i like janelle but i m willing for her to be sacrificed to keep frank in the game please let this work bb14 bblf bbad chilltown please don t let ian screw this up bb14",36,69,0.521739130434783,1
"33",33,1,"MarioRosales822","last month of 2013 kaitlyn kane when i m home i just want to be left alone lt long day","event producer in san francisco socialsf marqueelifestyle lvsocialgroup fb mariorosales822 ig mariorosales822","event producer in san francisco socialsf marqueelifestyle lvsocialgroup fb mariorosales822 ig mariorosales822 last month of 2013 kaitlyn kane when i m home i just want to be left alone lt long day",21,50,0.42,0
"34",34,0,"Hoardnot","jav2 thank you for following jose enjoy amp please r t hoardnot quezmedia thank you for following enjoy the real news and please rt hoardnot","author blogger political freak social media networking social butterfly black coffee nut ready to help learn and innovate","author blogger political freak social media networking social butterfly black coffee nut ready to help learn and innovate jav2 thank you for following jose enjoy amp please r t hoardnot quezmedia thank you for following enjoy the real news and please rt hoardnot",15,41,0.365853658536585,0
"35",35,1,"sbegemann","rt ritsports game recap as ritmhky rallies from two goal deficit to open 2013 with 4 3 win at st lawrence rit tigerpride enjoying johnny hockey and johnny football this weekend great work by these young men 2013wjc","husband dad accountant soccer hockey coach love family soccer hockey tennis football music and travel go sabres bills rit tigers hup holland","husband dad accountant soccer hockey coach love family soccer hockey tennis football music and travel go sabres bills rit tigers hup holland rt ritsports game recap as ritmhky rallies from two goal deficit to open 2013 with 4 3 win at st lawrence rit tigerpride enjoying johnny hockey and johnny football this weekend great work by these young men 2013wjc",34,62,0.548387096774194,1
"36",36,1,"JimHumbert","saracarterdc did u listen to his radio show when the chechen s aunt called in legendary boston marathon bombers al jazeera exposed glenn beck reveals network s origins amp airs several controversial clips you may not have seen","truth liberty personal responsibility the 1st amendment means nothing without the 2nd death to tyranny leaders are here","truth liberty personal responsibility the 1st amendment means nothing without the 2nd death to tyranny leaders are here saracarterdc did u listen to his radio show when the chechen s aunt called in legendary boston marathon bombers al jazeera exposed glenn beck reveals network s origins amp airs several controversial clips you may not have seen",14,26,0.538461538461538,1
"37",37,1,"kalibeans","rt peston the theft of my darling late wife s 1920 s engagement ring would be wonderful if it turned up broadwa rt peston so sorry to bore you about this but this is best pic of my darling late wife s stolen engagement ring and wedding band http","mom wife friend christian happy it s nice to be important it s more important to be nice","mom wife friend christian happy it s nice to be important it s more important to be nice rt peston the theft of my darling late wife s 1920 s engagement ring would be wonderful if it turned up broadwa rt peston so sorry to bore you about this but this is best pic of my darling late wife s stolen engagement ring and wedding band http",18,30,0.6,1
"38",38,1,"talkingorange","jennatar probably because it only happens to songs that make us feel old rt ishl3outyet no","one of the founders of area 5 filmmaker producer i giggle a lot on rebelfm used to do co op and the 1up show","one of the founders of area 5 filmmaker producer i giggle a lot on rebelfm used to do co op and the 1up show jennatar probably because it only happens to songs that make us feel old rt ishl3outyet no",20,32,0.625,1
"39",39,1,"schoon54","codymarriott4 you re drunk codymarriott4 i m gonna tell you right now the braves aren t going to win sadface","sports editor of the northwest missourian part time bartender with a beard of a greek god hawkeyes bearcats","sports editor of the northwest missourian part time bartender with a beard of a greek god hawkeyes bearcats codymarriott4 you re drunk codymarriott4 i m gonna tell you right now the braves aren t going to win sadface",30,46,0.652173913043478,1
"40",40,1,"AustinRogers78","rt hollandhawks georgemarkos1 yes the grizz will be grinding hard tonight okcblows made leadership university","attitude is more important than circumstance god then usj football hard work beats talent when talent dosen t work hard phil 4 13","attitude is more important than circumstance god then usj football hard work beats talent when talent dosen t work hard phil 4 13 rt hollandhawks georgemarkos1 yes the grizz will be grinding hard tonight okcblows made leadership university",16,31,0.516129032258065,1
"41",41,0,"leftydana","baseballmarty csnbaggs torture blew a save in the ninth amp won it in extras congrats baseballmarty i hope nate does get on one of his hot streaks angel amp blanco both on fumes natethegreat","i am a professor at uc davis a wife mother dog owner lifelong fan of the sf giants also a proud alum of usc uc davis and sac state","i am a professor at uc davis a wife mother dog owner lifelong fan of the sf giants also a proud alum of usc uc davis and sac state baseballmarty csnbaggs torture blew a save in the ninth amp won it in extras congrats baseballmarty i hope nate does get on one of his hot streaks angel amp blanco both on fumes natethegreat",30,78,0.384615384615385,0
"42",42,1,"diskopo","blake griffin gets kia sponsorship by dunking over one jeremy lin gets volvo sponsorship by performing maintenance at recommended intervals enjoy the missionary position try the study abroad position peace corps position or even the doctors w o borders position if you re freaky","played for gizmodo lifehacker now starting storybundle dated a kardashian wearing 28","played for gizmodo lifehacker now starting storybundle dated a kardashian wearing 28 blake griffin gets kia sponsorship by dunking over one jeremy lin gets volvo sponsorship by performing maintenance at recommended intervals enjoy the missionary position try the study abroad position peace corps position or even the doctors w o borders position if you re freaky",17,35,0.485714285714286,0
"43",43,0,"GilmanDanielle","this will be my new one god love ink tylerdurden1974 the thing is my favorite because it was well written well acted and scared the shit out of me when i was younger","paranormal investigator","paranormal investigator this will be my new one god love ink tylerdurden1974 the thing is my favorite because it was well written well acted and scared the shit out of me when i was younger",27,64,0.421875,0
"44",44,1,"phippsjm","chobani just finish my breakfast two scoops of chobani little cinnamon mango blackberries pear honey roast peanut butter wonderful skyflame1 dear ms skyler by their on definition speaker of the house is a good leader because he does what the follower ask him to do","father husband protector of the faith just a guy pro mo brooks roll tide ps mo brooks is my us congressman","father husband protector of the faith just a guy pro mo brooks roll tide ps mo brooks is my us congressman chobani just finish my breakfast two scoops of chobani little cinnamon mango blackberries pear honey roast peanut butter wonderful skyflame1 dear ms skyler by their on definition speaker of the house is a good leader because he does what the follower ask him to do",24,41,0.585365853658537,1
"45",45,0,"JessicaDho","i m so tired sleep sarahalyssa4 when do you get home today sarahjessicatime","eat sleep cheer drhs varsity cheer","eat sleep cheer drhs varsity cheer i m so tired sleep sarahalyssa4 when do you get home today sarahjessicatime",6,22,0.272727272727273,0
"46",46,0,"kyleyleger","itslow my gut says girl keli h we just opened a separate savings so we could have emergency fund and car otherwise giant big expensive car","wife to my high school sweetheart mommy to a little boy born july 2010 marketing communications manager for valve and instrument company","wife to my high school sweetheart mommy to a little boy born july 2010 marketing communications manager for valve and instrument company itslow my gut says girl keli h we just opened a separate savings so we could have emergency fund and car otherwise giant big expensive car",23,51,0.450980392156863,0
"47",47,1,"UniqueTreee","so now her friend thinking i m just so into mexicans i love the men a little pero mi hermandad es muy diversa rt eatnutritious perfect meal schedule breakfast 7am snack 9 30am lunch 12pm pre workout 3 30pm post workout 5pm dinner 7pm lat","my intelligence and tenacity are my gift my curse healthadmin teamtsu ilovetotravel σλγ fall12 captain","my intelligence and tenacity are my gift my curse healthadmin teamtsu ilovetotravel σλγ fall12 captain so now her friend thinking i m just so into mexicans i love the men a little pero mi hermandad es muy diversa rt eatnutritious perfect meal schedule breakfast 7am snack 9 30am lunch 12pm pre workout 3 30pm post workout 5pm dinner 7pm lat",29,58,0.5,1
"48",48,0,"biebsandflores","rt alfredoflores on the ski lift and guess who i see everyone is at the fair lacountyfair happy birthday iamjulkeyz have a good one","im 16 a junior in nh justin is my life true belieber 3 i also love alfredo flores beastmode respectselena","im 16 a junior in nh justin is my life true belieber 3 i also love alfredo flores beastmode respectselena rt alfredoflores on the ski lift and guess who i see everyone is at the fair lacountyfair happy birthday iamjulkeyz have a good one",32,61,0.524590163934426,1
"49",49,0,"HaleyPhamily","wait whaaaat they just brought champagne to the room fuckkkk i love vegas and the ratchetness begins","word to mother i m dangerous crazier than a bag of angel dust","word to mother i m dangerous crazier than a bag of angel dust wait whaaaat they just brought champagne to the room fuckkkk i love vegas and the ratchetness begins",16,35,0.457142857142857,0
"50",50,1,"Nellie1983","amy inva yup they re here as strange as this sounds being at a scrapbook convention i don t scrapbook i do rubber stamp crafting ok nothing bundt cakes just ruined my diet holy cow moist and decadent they are here in sandy","newly single mom of 2 adult kids 2 teenagers grandma of one beautiful little girl i love the music of david archuleta david cook and david osmond","newly single mom of 2 adult kids 2 teenagers grandma of one beautiful little girl i love the music of david archuleta david cook and david osmond amy inva yup they re here as strange as this sounds being at a scrapbook convention i don t scrapbook i do rubber stamp crafting ok nothing bundt cakes just ruined my diet holy cow moist and decadent they are here in sandy",55,105,0.523809523809524,1
"51",51,1,"rakoto10","can t tell a 17 year old hs student w mission plans graduate in 14 mission 15 16 rs 17 and you ll be huge contributor as a fr in 18 lancewarchibald honestly i don t mind it i kinda like saving redshirts for injuries and if you don t use them great if they re good","byu braves jazz and bbq contributor to http lawlessrepublic com 2013 chappy winner for most underrated tweeter","byu braves jazz and bbq contributor to http lawlessrepublic com 2013 chappy winner for most underrated tweeter can t tell a 17 year old hs student w mission plans graduate in 14 mission 15 16 rs 17 and you ll be huge contributor as a fr in 18 lancewarchibald honestly i don t mind it i kinda like saving redshirts for injuries and if you don t use them great if they re good",51,76,0.671052631578947,1
"52",52,0,"heatherbarkee","madycrouse sorry for whatever happened today but tomorrow is a new day well i ll be at home tomorrow if someone wants to come watch movies with me instead of doing something fun on halloween please","life s short kick high","life s short kick high madycrouse sorry for whatever happened today but tomorrow is a new day well i ll be at home tomorrow if someone wants to come watch movies with me instead of doing something fun on halloween please",19,57,0.333333333333333,0
"53",53,1,"NickFriedell","thibs surely following ecf closely he knows the heat and pacers are the two teams bulls must get past next season in order to get to finals the battle for the central division should be fun next year the bulls and pacers match up evenly and they don t like each other","nick friedell is the chicago bulls beat reporter for http espnchicago com and espn 1000","nick friedell is the chicago bulls beat reporter for http espnchicago com and espn 1000 thibs surely following ecf closely he knows the heat and pacers are the two teams bulls must get past next season in order to get to finals the battle for the central division should be fun next year the bulls and pacers match up evenly and they don t like each other",35,67,0.522388059701492,1
"54",54,1,"JAWANNBC6","same to you happy 2014 magic20099 wishing you a very happy new year my man looking forward to another great yr of connecting w you rt helened007 jawannbc6 good morning jawan i am glad you re back i have my first training session with david tomorrow 6 pack coming so","morning anchor for nbc 6 south florida in miami sports lover and news junkie and love for community story idea just dm me","morning anchor for nbc 6 south florida in miami sports lover and news junkie and love for community story idea just dm me same to you happy 2014 magic20099 wishing you a very happy new year my man looking forward to another great yr of connecting w you rt helened007 jawannbc6 good morning jawan i am glad you re back i have my first training session with david tomorrow 6 pack coming so",65,110,0.590909090909091,1
"55",55,0,"DJqualls11","an hour and a half amp i m out rt jaybaby 18 they can all get fucked just stay true to you eminem","live for the moments you cant put into words aries teamtaken freespirit ovoxo instagram lilqualls","live for the moments you cant put into words aries teamtaken freespirit ovoxo instagram lilqualls an hour and a half amp i m out rt jaybaby 18 they can all get fucked just stay true to you eminem",23,53,0.433962264150943,0
"56",56,0,"tigrayrocks","rt sjervewfla seasonal low of 75 great sunny start to the day on tuesday highs will top out near 92 only a 20 rain chance flwx fb rt stormteam8wfla peak of hurricane season tuesday flwx tropics quietseasonasofar haveaplan","visually impaired loves mlb baseball tigers rays rockies nfl football steelers loves music singing has 2 kitty cats","visually impaired loves mlb baseball tigers rays rockies nfl football steelers loves music singing has 2 kitty cats rt sjervewfla seasonal low of 75 great sunny start to the day on tuesday highs will top out near 92 only a 20 rain chance flwx fb rt stormteam8wfla peak of hurricane season tuesday flwx tropics quietseasonasofar haveaplan",26,56,0.464285714285714,0
"57",57,0,"NYTMBlog","resourcefulmom saraleesnacks q1 the chocolate cupcakes saraleesnacks rt resourcefulmom to participate tonight amp be eligible for delicious prizes be sure to follow saraleesnacks rt saraleesnacks","writer of parenting travel in central fl baking and photography my kids rock my world and i read way too many books pr friendly heck yeah","writer of parenting travel in central fl baking and photography my kids rock my world and i read way too many books pr friendly heck yeah resourcefulmom saraleesnacks q1 the chocolate cupcakes saraleesnacks rt resourcefulmom to participate tonight amp be eligible for delicious prizes be sure to follow saraleesnacks rt saraleesnacks",19,44,0.431818181818182,0
"58",58,0,"DocTCole","rt statedept us embassy in central african republic car temporarily suspends operations due to security situation travel africa h rt huffpostworld king david era archaeological discovery made near jerusalem photos","infectious diseases physician who treats ppl living w hiv aids chronic viral hepatitis b c those w dual or triple infection interest medical aesthetics","infectious diseases physician who treats ppl living w hiv aids chronic viral hepatitis b c those w dual or triple infection interest medical aesthetics rt statedept us embassy in central african republic car temporarily suspends operations due to security situation travel africa h rt huffpostworld king david era archaeological discovery made near jerusalem photos",11,24,0.458333333333333,0
"59",59,0,"Marriah33","rt mcinko94 confessionnight i ve never felt like this before rt d swizzle15 i don t know what the right thing to do is at this point","don t take any day for granted","don t take any day for granted rt mcinko94 confessionnight i ve never felt like this before rt d swizzle15 i don t know what the right thing to do is at this point",32,69,0.463768115942029,0
"60",60,0,"JenniferSchuble","while i was hanging out brookwood birmingham news did press release got love what photo found its lance livestrong race my old orbea been modified thanks to jb wrench the benefit having spare bikes amp parts problem solved","i am paralympic gold medalist i am 5 x paralympic medalist i am 5 x world champion i am army veteran i am us paralympic road track cyclist","i am paralympic gold medalist i am 5 x paralympic medalist i am 5 x world champion i am army veteran i am us paralympic road track cyclist while i was hanging out brookwood birmingham news did press release got love what photo found its lance livestrong race my old orbea been modified thanks to jb wrench the benefit having spare bikes amp parts problem solved",22,48,0.458333333333333,0
"61",61,1,"DragonOrca","i had a great week last week had a fun bday and an awesome bday","i am always looking for a hug and new friends","i am always looking for a hug and new friends i had a great week last week had a fun bday and an awesome bday",12,24,0.5,1
